id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price,name,img
homeawp8239148,https://www.homeaway.es/p8239148,-1.99326412,43.31418372,2017-10-14 13:21:06.437000,2018-04-16 19:15:27.066000,homeaw8239148,Apartamento,3,6,0,3,233,MIRAMAR apartment - PEOPLE RENTALS   ,https://imagesus-ssl.homeaway.com/mda01/ba5d8607-5305-4b1c-8db2-d8c9a8358c1a.1.3
homeawp1835132,https://www.homeaway.es/p1835132,-1.99433237,43.31426103,2017-10-14 13:19:39.978000,2018-01-06 08:01:29.806000,homeaw1835132,Apartamento,3,6,5,0,0,Friendly Rentals El Apartamento Santa Clara en San Sebastian   ,https://imagesus-ssl.homeaway.com/mda01/f09842f6-e6bd-4de2-9339-4b2c99bfe9e4.1.3
homeawp4762540,https://www.homeaway.es/p4762540,-1.9919014,43.3143612,2017-11-27 05:18:40.471000,2018-01-08 13:27:02,homeaw4762540,Apartamento,1,4,0,1,188,"Apartamento  San Sebastian, Donostia - San Sebastian   ",https://imagesus-ssl.homeaway.com/mda01/025a655e-74ac-4bc0-b506-c5177491b3f6.1.3
homeawp1458770,https://www.homeaway.es/p1458770,-1.9919103,43.3143339,2017-11-01 17:51:37.784000,2018-01-05 00:40:48.471000,homeaw1458770,Apartamento,1,3,23,3,0,Apartamento Laket by FeelFree Rentals   ,https://imagesus-ssl.homeaway.com/mda01/c671c86a-0740-4f98-af27-4cc416cbd6da.1.3
homeawp1007135,https://www.homeaway.es/p1007135,-1.9918314,43.3142593,2017-10-14 13:19:03.651000,2018-04-16 19:02:55.863000,homeaw1007135,Apartamento,3,6,2,2,204,"Amplia terraza con vistas increibles a la bahia de La Concha, Wifi   ",https://imagesus-ssl.homeaway.com/mda01/6d0cc991-ad02-4d9f-ace2-64388ae0cde5.1.3
homeawp8350846,https://www.homeaway.es/p8350846,-1.9918314,43.3142593,2017-10-14 13:21:19.051000,2018-01-08 14:03:00.264000,homeaw8350846,Apartamento,1,3,0,3,230,EGUZKI apartment - PEOPLE RENTALS   ,https://imagesus-ssl.homeaway.com/mda01/a8980ec9-ee20-42e5-ac88-af806b470ddb.1.3
homeawp64346,https://www.homeaway.es/p64346,-1.9912114,43.3140025,2017-10-14 13:21:31.833000,2018-01-08 14:03:01.221000,homeaw64346,Villa,3,12,5,2,200,Fabulosa villa a precios asequibles en la mejor zona de San Sebastian   ,https://imagesus-ssl.homeaway.com/mda01/df2abe1d-9014-4dfe-870e-68de4f5a1316.1.3
homeawp6906315,https://www.homeaway.es/p6906315,-1.991604,43.314271,2017-10-14 13:20:42.717000,2017-11-05 10:11:00.555000,homeaw6906315,Apartamento,2,4,14,3,0,Apartamento Playa de La Concha 2 by FeelFree Rentals   ,https://imagesus-ssl.homeaway.com/mda01/a86c8f39-53af-45ce-a8e6-ce96f27b3457.1.3
homeawp6906317,https://www.homeaway.es/p6906317,-1.9912942,43.3140014,2017-10-14 13:19:01.227000,2017-11-05 09:51:06.642000,homeaw6906317,Apartamento,2,4,1,3,0,Apartamento Playa de La Concha 1 by FeelFree Rentals   ,https://imagesus-ssl.homeaway.com/mda01/6a0a61fd-f2d5-4e95-8dd5-beee1a7f9bc8.1.3
homeawp8654724,https://www.homeaway.es/p8654724,-1.98920133,43.31423202,2018-04-15 05:38:17.017000,2018-04-16 19:18:14.851000,homeaw8654724,Apartamento,3,6,6,2,1107,Luxury Belle Epoque apartments on the seafront   ,https://imagesus-ssl.homeaway.com/mda01/cbb405fa-7657-460e-a7aa-cf23b7bd1cc8.1.3
