listing_id,date
7341411,2016-01-01
7341411,2016-01-31
7341411,2016-04-30
7341411,2016-05-01
7341411,2016-05-08
7341411,2016-05-23
7341411,2016-05-28
7341411,2016-06-03
7341411,2016-06-05
7341411,2016-07-06
7341411,2016-07-10
7341411,2016-07-22
7341411,2016-07-23
7341411,2016-07-26
7341411,2016-07-30
7341411,2016-08-22
7341411,2016-08-24
7341411,2016-08-27
7341411,2016-08-30
7341411,2016-10-30
7341411,2016-11-01
7341411,2017-02-19
14476914,2016-08-23
14476914,2016-08-26
14476914,2016-08-30
14476914,2016-09-04
14476914,2016-09-10
14476914,2016-09-11
14476914,2016-09-22
14476914,2016-10-12
14476914,2016-10-20
14476914,2016-10-30
14476914,2016-11-05
14476914,2016-11-18
14476914,2016-12-06
14476914,2017-01-02
14476914,2017-01-29
14476914,2017-02-26
12355351,2016-05-16
12355351,2016-05-23
12355351,2016-06-12
12355351,2016-07-09
12355351,2016-07-12
12355351,2016-07-14
12355351,2016-08-11
12355351,2016-08-12
12355351,2016-08-18
12355351,2016-08-28
12355351,2016-09-05
12355351,2016-09-09
12355351,2016-09-18
12355351,2016-09-21
12355351,2016-09-22
12355351,2016-09-25
12355351,2016-10-08
12355351,2016-10-09
12355351,2016-10-13
12355351,2016-10-15
12355351,2016-10-16
12355351,2016-10-20
12355351,2016-10-22
12355351,2016-10-24
12355351,2016-10-25
12355351,2016-11-01
13331063,2016-08-22
2288178,2014-07-28
2288178,2014-08-18
2288178,2015-01-01
2288178,2015-02-08
2288178,2015-05-03
2288178,2015-05-15
2288178,2015-06-02
2288178,2015-06-10
2288178,2015-07-03
2288178,2015-07-23
2288178,2015-08-20
2288178,2015-08-22
2288178,2015-09-06
2288178,2015-10-25
2288178,2015-11-11
2288178,2015-11-15
2288178,2015-12-01
2288178,2015-12-21
2288178,2016-02-15
2288178,2016-02-21
2288178,2016-03-22
2288178,2016-03-24
2288178,2016-05-15
2288178,2016-06-09
2288178,2016-06-11
2288178,2016-06-28
2288178,2016-07-08
2288178,2016-07-22
2288178,2016-08-18
2288178,2016-09-22
2288178,2016-10-09
2288178,2017-01-22
2288178,2017-02-16
2288178,2017-03-03
2288178,2017-03-05
2288178,2017-03-12
4808309,2015-02-27
4808309,2015-04-18
4808309,2015-04-29
4808309,2015-05-02
4808309,2015-05-05
4808309,2015-05-27
4808309,2015-06-06
4808309,2015-06-13
4808309,2015-06-26
4808309,2015-07-05
4808309,2015-07-09
4808309,2015-07-16
4808309,2015-09-19
4808309,2015-09-27
4808309,2015-09-29
4808309,2015-10-01
4808309,2015-10-06
4808309,2015-10-09
4808309,2015-10-16
4808309,2015-10-21
4808309,2015-10-29
4808309,2015-11-02
4808309,2015-11-10
4808309,2015-11-15
4808309,2015-11-17
4808309,2015-11-25
4808309,2015-12-13
4808309,2015-12-30
4808309,2016-02-09
4808309,2016-02-14
4808309,2016-02-27
4808309,2016-03-01
4808309,2016-03-06
4808309,2016-03-27
4808309,2016-04-25
4808309,2016-04-28
4808309,2016-05-01
4808309,2016-05-05
4808309,2016-05-19
4808309,2016-05-29
4808309,2016-06-05
4808309,2016-06-11
4808309,2016-06-14
4808309,2016-06-29
4808309,2016-07-30
4808309,2016-08-01
4808309,2016-08-20
4808309,2016-09-28
4808309,2016-10-06
4808309,2016-10-09
4808309,2016-10-12
4808309,2016-10-16
4808309,2016-10-18
4808309,2016-10-25
4808309,2016-11-01
4808309,2016-11-07
4808309,2016-11-20
4808309,2017-01-01
4808309,2017-01-17
4808309,2017-02-05
4808309,2017-02-11
4808309,2017-02-16
4808309,2017-02-21
4808309,2017-02-26
4808309,2017-03-06
17109260,2017-03-05
17109260,2017-03-19
5781261,2015-04-15
5781261,2015-04-23
5781261,2015-04-26
5781261,2015-04-28
5781261,2015-05-14
5781261,2015-05-20
5781261,2015-05-27
5781261,2015-06-04
5781261,2015-06-10
5781261,2015-06-22
5781261,2015-06-28
5781261,2015-07-02
5781261,2015-08-18
5781261,2015-08-26
5781261,2015-08-31
5781261,2015-09-07
5781261,2015-09-14
5781261,2015-09-24
5781261,2015-10-05
5781261,2015-10-07
5781261,2015-10-15
5781261,2015-10-29
5781261,2015-11-03
5781261,2015-11-09
5781261,2015-11-10
5781261,2015-11-13
5781261,2015-11-15
5781261,2015-11-18
