id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
99298,The Cliff's House in Getxo (Bilbao),523041,Mlle. Cliff'SHouse,Vizcaya,Getxo,43.35684340726622,-3.0182392754861174,Private room,22,30,90,2018-07-31,0.98,2,341
132068,Great attic+terrace+parking. Beach views. ESS00578,648938,Mikel,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32520142015621,-1.9720910362055915,Entire home/apt,79,1,387,2018-11-20,4.25,1,281
138845,kurtzio flat,677646,Ana,Vizcaya,Bermeo,43.41902063706053,-2.723746150228047,Entire home/apt,40,1,252,2018-11-20,3.96,1,68
142760,Apartment with ocean views,693119,Andre,Vizcaya,Busturia,43.39062439875396,-2.694701128555592,Entire home/apt,91,4,34,2018-08-31,0.38,1,273
213053,TheCliff'sHouse in Getxo - Apart,523041,Mlle. Cliff'SHouse,Vizcaya,Getxo,43.35682604401083,-3.0164685827844,Entire home/apt,36,30,21,2015-08-01,0.28,2,298
239971,Beautiful Rural house near Bilbao,1258788,Maria Lourdes,Vizcaya,Mungai,43.380183411326065,-2.8241253360179974,Private room,73,2,0,,,3,346
284548,Welcome to the Seventh heaven,1476752,Ibon,Vizcaya,Bilbao,43.26320387920924,-2.9238105473556417,Entire home/apt,100,1,110,2018-11-04,1.37,1,21
286084,Habitación independiente con baño privado,1465243,Isabel,GuipÃºzcoa,Irun,43.337568678527745,-1.8190428716051557,Private room,52,2,39,2018-10-14,2.49,1,344
309802,Luxury w/terrace near the beach WIF,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.315824402253305,-2.0039371068094978,Entire home/apt,195,3,4,2018-04-19,0.07,8,334
309813,Near the beach with terrace WIFI,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31477665842496,-1.9873444816000334,Entire home/apt,78,31,12,2018-06-02,0.15,8,253
309828,Modern apt with beach view WIFI.,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31630771865086,-1.986171484824856,Entire home/apt,78,31,35,2017-09-24,0.59,8,31
309830,Gorgeus modern design WIFI Beach,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.3167881011914,-1.9862419399419828,Entire home/apt,86,31,19,2018-07-11,0.28,8,334
327425,Charming apartment 2 blocks Guggenh,1673566,Oiane,Vizcaya,Bilbao,43.26609868014782,-2.9353937150495453,Entire home/apt,110,5,41,2018-05-16,0.51,1,323
329695,"By Guggenheim museum. For ""Game of Thrones"" fans",1683082,Gorka,Vizcaya,Plentzia,43.405853916053054,-2.9482407867949294,Entire home/apt,180,3,5,2018-09-14,1.09,1,349
341691,rent room for days,1733722,Itziar,Vizcaya,Bilbao,43.263171477569884,-2.947518264172488,Private room,50,2,16,2018-11-04,1.16,1,363
360571,Refurbished 2 bedroom flat Donostia,1823300,Jon & Manex,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.304530604245066,-1.9755394535206965,Entire home/apt,150,4,21,2018-11-03,0.68,9,365
386301,Confortable next to surfing beach ,1933529,Ainhoa,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32412291896107,-1.9707051680317516,Entire home/apt,100,2,186,2018-11-11,2.82,1,285
386818,Cabaña de madera vistas al mar,1932775,Ihintza,GuipÃºzcoa,Hondarribia,43.37334551249352,-1.8061859228873574,Entire home/apt,55,1,371,2018-11-25,6.46,1,332
393715,Apartamento en Costa Vasca,1968496,Concha,GuipÃºzcoa,Mutriku,43.30779741665442,-2.3869079615153983,Entire home/apt,65,3,62,2018-11-04,0.80,2,283
404270,old part San Sebastian single room,2015934,Jon,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32442363879973,-1.9838416302553608,Private room,100,7,8,2017-07-25,0.15,4,150
417854,Double room in Comfy & spacious apt,1823300,Jon & Manex,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.30529711128604,-1.9800035226045973,Private room,80,1,43,2018-10-23,0.54,9,364
424487, Apartamento Gorliz Playa - Vizcaya,2110227,Koldo,Vizcaya,Gorliz,43.413619392596665,-2.9366175992018904,Entire home/apt,90,4,32,2018-09-04,0.42,1,365
429657,"Glasshouse by the SEA /40 km Bilbao, Parking.",1986539,Igor,Vizcaya,Ibarrangelu,43.38659062804678,-2.6309741492483463,Entire home/apt,90,2,57,2018-11-02,0.92,2,346
429887,old part SS double room,2015934,Jon,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.324885566599455,-1.9835309733826383,Private room,150,7,14,2017-06-21,0.29,4,150
430475,Terrace apartement next to beach,2131752,Ana,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31273762201907,-2.004738358752344,Entire home/apt,150,4,21,2018-08-30,0.51,1,1
443362,old part of SS singel room,2015934,Jon,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32465576826237,-1.9843636462681793,Private room,100,7,5,2018-02-25,0.12,4,135
452464,Best of both worlds - mountains/city (3 rooms),1141079,Sally & Rober,Vizcaya,Durango,43.15336158487595,-2.6177292692084486,Private room,125,2,60,2018-10-17,0.76,4,135
456366,City Center Private Room + Bathroom,59550,Maite,Vizcaya,Bilbao,43.26258125254681,-2.9433030093732078,Private room,95,2,59,2018-11-04,0.75,3,335
456706,Your Place JUST right in the CENTER,59550,Maite,Vizcaya,Bilbao,43.26456286989125,-2.9434913036647914,Private room,75,2,33,2018-09-12,0.43,3,334
457366,old part SS  3 bed room,2015934,Jon,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.323048583654504,-1.9825723197926555,Private room,200,7,10,2016-05-29,0.13,4,150
458864,"Beautiful Room, Sea view, Heart of City Center",2281404,Ana Isabel,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.322257708756446,-1.9878839606319052,Private room,45,2,66,2018-11-04,0.85,2,93
491403,Mountains/city - twin room own bath,1141079,Sally & Rober,Vizcaya,AbadiÃ±o,43.151730852603194,-2.617993612833617,Private room,55,1,37,2018-10-20,0.48,4,335
492561,Mountains and city: Two twin rooms,1141079,Sally & Rober,Vizcaya,Durango,43.15249497802613,-2.6174809658174043,Private room,90,1,18,2018-08-11,0.23,4,325
492633,Mountains and city: Double ensuite,1141079,Sally & Rober,Vizcaya,AbadiÃ±o,43.15379573427575,-2.617275600588376,Private room,55,1,96,2018-09-29,1.25,4,327
495480,Nice apartment near the beach,2446816,Celia,Vizcaya,Bakio,43.429895821354386,-2.8088413890269237,Entire home/apt,220,2,19,2018-08-05,0.27,1,364
533925,Zeaietaberri Rural house,1659388,Zelaieta,GuipÃºzcoa,Deba,43.280193190714755,-2.3251204152366847,Entire home/apt,225,5,8,2018-01-06,0.12,1,355
534069,BEST LOCATION OLD TOWN Luxury Loft (+ 31 days),2625306,Luis,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32380030261306,-1.9849290857144375,Entire home/apt,98,31,378,2018-06-30,4.84,5,25
544285,Have a great time near to the sea,2676178,Columba,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.30990592558104,-2.0016125263393887,Private room,55,1,301,2018-10-25,3.87,2,352
559545,107m2 en el centro de Labastida,2750534,Josefa,Ãlava,Labastida,42.58840956695638,-2.7915028596889693,Entire home/apt,70,2,27,2018-11-18,0.36,1,307
565505,Beautiful and sunny flat in Gros,2691611,Daniela,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32545930243117,-1.971329237783804,Entire home/apt,155,2,8,2018-07-06,0.11,1,293
592243,"Bilbao center, wifi, near museums, awesome!",2697257,Maria,Vizcaya,Bilbao,43.25479640790297,-2.934733365273226,Private room,27,1,316,2018-11-11,4.10,1,129
592870,VITORIA EUROPEAN GREEN CAPITAL ,2683577,Patxi,Ãlava,Vitoria-Gasteiz,42.84916501559884,-2.6491780033733354,Private room,45,2,20,2018-11-11,0.27,1,89
605611,"cool room, nice flat, fun people",2977232,Sebastian,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.324270289434764,-1.9679264214355887,Private room,40,2,31,2018-09-24,0.40,2,300
617702,"Basque Country, 112 m² flat close to beach",3060941,Joxean,GuipÃºzcoa,Deba,43.29060488716406,-2.3566856653432104,Entire home/apt,90,4,9,2018-08-25,0.13,1,362
618478,Apartamento en San Sebastian,1934446,Iñaki,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.30549281685448,-1.9747577343050777,Entire home/apt,130,4,9,2018-08-26,0.17,1,60
629957,Flat with terrace and sea views,3130447,Ibon,Vizcaya,Elantxobe,43.40384698275034,-2.639744054651188,Entire home/apt,100,3,38,2018-10-14,0.56,1,365
641478,COUNTRY HOUSE BY THE BUTRON RIVER,3196379,Iñigo,Vizcaya,Gatika,43.387354018653106,-2.9190946179288404,Entire home/apt,500,2,18,2018-08-27,0.24,1,291
642966,Precioso Loft en Bakio,3214681,Katalin,Vizcaya,Bakio,43.42879443051601,-2.813423787332563,Entire home/apt,70,2,86,2018-09-30,1.25,1,0
645548,BEAUTIFUL SEASIDE FLAT WITH TERRACE + PARKING,3232667,Javi,Vizcaya,Plentzia,43.40588218994647,-2.9474302164160586,Entire home/apt,59,2,77,2018-11-18,1.02,1,72
647882,Apartment in San Sebastian Beach,438751,Lorena,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.325295417192756,-1.9729515404744102,Entire home/apt,100,7,21,2018-08-27,0.32,1,62
655110,VACATIONAL HOUSE 1,3297234,Teresa,Vizcaya,Bilbao,43.26049361326464,-2.930661518331808,Entire home/apt,190,7,33,2018-08-12,0.52,5,59
655694,vivienda para familia o grupo ,3297234,Teresa,Vizcaya,Bilbao,43.25896174637127,-2.933976464400767,Entire home/apt,190,7,18,2018-08-26,0.44,5,148
656055," Bilbao,  transformed city",3303837,Elena,Vizcaya,Bilbao,43.28750730980029,-2.9685385607271946,Private room,50,1,45,2018-10-05,0.68,1,364
658639,Ama Lur de Lur Mendi ,2290498,Mari,Ãlava,Labastida,42.590652926624514,-2.7962067040311664,Private room,70,1,2,2015-04-16,0.03,3,0
664737,APARTAMENTO  CENTRO (WIFI-PARKING),3358229,Asier,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.319988185834646,-1.9799987192746014,Entire home/apt,55,31,111,2018-11-04,1.48,3,242
664879,AMPLIA HABITACIÓN  CHALET SOPELANA,3359379,Arantza,Vizcaya,Sopelana,43.381633273346466,-2.9834408942421113,Private room,40,2,47,2018-08-08,0.72,1,283
679760,"Utopia, ideal duplex to explore the Basque Country",3459806,Pablo,Ãlava,Amurrio,43.049725038947344,-2.992587284306108,Entire home/apt,100,1,101,2018-10-28,1.34,1,345
685612,Casa con jardín privado. EVI0057,2997019,Inés,Ãlava,OyÃ³n,42.5066037737186,-2.444564321727517,Entire home/apt,115,1,78,2018-11-11,1.11,1,346
702249,Mikelen Etxea - Sierra Salvada - Orduña,3604629,Inmaculada,Ãlava,Amurrio,42.973584231307065,-3.018276226819362,Entire home/apt,150,2,1,2013-07-21,0.02,1,280
711105,Traditional Basque Farm House,3659702,Phil,Ãlava,Arraia-Maeztu,42.74975717485117,-2.4433987044538674,Private room,25,2,160,2018-10-14,2.96,2,359
717367,Apartamento moderno en el Boulevard,3698734,María,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32181989951664,-1.9821899459531171,Entire home/apt,160,3,6,2018-05-12,0.09,1,298
720913,Ecocabaña en naturaleza. Lekeitio,3721977,Maria,Vizcaya,Ispaster,43.35076109351697,-2.5761770929920633,Entire home/apt,55,2,141,2018-11-04,4.00,3,347
720916,Piso reformado casco viejo Lekeitio con wifi,3721977,Maria,Vizcaya,Lekeitio,43.36252012547686,-2.506082641592227,Entire home/apt,55,2,176,2018-11-21,2.38,3,312
721139,Apartamento junto al puerto,3723109,Oskar,GuipÃºzcoa,Pasaia,43.323564679106504,-1.9296452048944435,Entire home/apt,85,2,22,2018-09-26,0.31,1,353
724801,Piso nuevo CENTRO a 2`` Playa Conc ,7863197,Teresa,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31707567757366,-1.9866204126111615,Entire home/apt,350,4,4,2014-09-10,0.08,1,365
740932,Nice Room Guggenheim & Euskalduna & University,3227964,Gabriela,Vizcaya,Bilbao,43.26913658719218,-2.9287988015927064,Private room,38,2,88,2018-10-21,1.35,2,180
748452,alojamiento rural en urdaibai ,3931497,Mañuko,Vizcaya,Bermeo,43.40015507206469,-2.759016585103052,Entire home/apt,860,1,0,,,2,363
