"","id","url","longitude","latitude","found","revised","host.id","room_type","bedrooms","capacity","reviews","min_nights","price","barrio","umenores"
"27","onlyap599232738a46554f807af44927","https://www.only-apartments.es/_/917218",-1.97570169999995,43.3245277,"2018-04-17 11:35:49.087000","2018-04-18 18:37:21.907000","onlyap917218","Apartamento",NA,5,NA,2,NA,"Gros","Gros"
"28","onlyap599232738a46554f807af44928","https://www.only-apartments.es/_/513972",-1.97697,43.3243,"2018-03-31 17:55:09.508000","2018-04-18 21:06:48.096000","onlyap513972","Apartamento",NA,6,NA,2,NA,"Gros","Gros"
"29","onlyap599232738a46554f807af44929","https://www.only-apartments.es/_/917287",-1.97689760000003,43.3233202,"2018-04-17 11:40:39.532000","2018-04-18 22:44:39.649000","onlyap917287","Apartamento",NA,9,NA,4,NA,"Gros","Gros"
"30","onlyap599232738a46554f807af44930","https://www.only-apartments.es/_/513982",-1.9775109,43.3232445,"2018-03-31 17:54:29.299000","2018-04-18 17:07:04.044000","onlyap513982","Apartamento",NA,4,NA,1,NA,"Gros","Gros"
"31","onlyap599232738a46554f807af44931","https://www.only-apartments.es/_/917203",-1.9777431,43.3227294,"2018-04-17 11:38:22.846000","2018-04-18 21:03:31.572000","onlyap917203","Apartamento",NA,6,NA,3,NA,"Gros","Gros"
"32","onlyap599232738a46554f807af44932","https://www.only-apartments.es/_/917259",-1.97777509689331,43.3225239490665,"2018-04-17 11:33:34.065000","2018-04-24 10:42:45.102000","onlyap917259","Apartamento",NA,4,NA,1,NA,"Gros","Gros"
"33","onlyap599232738a46554f807af44933","https://www.only-apartments.es/_/917207",-1.97787410000001,43.3237849,"2018-04-17 11:33:38.541000","2018-04-24 10:47:55.980000","onlyap917207","Apartamento",NA,4,NA,2,NA,"Gros","Gros"
"34","onlyap599232738a46554f807af44934","https://www.only-apartments.es/_/916827",-1.977954,43.323351,"2018-03-31 17:55:27.547000","2018-04-18 22:32:56.816000","onlyap916827","Apartamento",NA,8,NA,3,NA,"Gros","Gros"
"35","onlyap599232738a46554f807af44935","https://www.only-apartments.es/_/917362",-1.98346059999994,43.3254776,"2018-04-17 11:33:34.069000","2018-04-18 16:47:46.503000","onlyap917362","Apartamento",NA,3,NA,1,NA,"Centro","Area Romantica"
"36","onlyap599232738a46554f807af44936","https://www.only-apartments.es/_/908495",-1.98478,43.324584,"2018-03-31 17:55:09.508000","2018-04-18 21:07:15.357000","onlyap908495","Apartamento",NA,6,NA,3,NA,"Centro","Parte Vieja"
