host_id,host_name,alojamientos,sum_accomodates
10777548,Marian,1,3
10810417,Pablo,1,2
10969460,Silvia,1,1
11008085,Jacob,1,2
11356772,Daniele,1,4
11512737,Izadi,1,2
11534048,María,1,2
11947214,Carlos,1,4
12333332,Marina,1,1
12410760,Peter,1,2
12473012,Gorka,1,2
12539245,José,1,4
12738550,Carlos,1,6
12889206,Paula,1,5
12975982,Julia,1,2
13482112,Marta,1,7
13551528,Cristina,1,6
13723057,Maria,1,5
13726631,Nieves,1,5
13763589,Javier,1,5
13792405,Ainara,1,5
14011988,Pablo,1,3
14157336,Rosa Maria,1,2
14492124,Agurne,1,2
14524985,Estefania & Iñigo,1,4
14539528,Ana,1,5
14591119,Ana & Ralf,1,7
15023142,Itziar,1,2
15181459,Amaia,1,2
15268898,Mariano,1,2
15270260,Ainhoa,1,2
15341690,Luar,1,4
15509555,Eider,1,2
15605371,Gari,1,9
15721159,María,1,2
15764978,Jose Mari,1,6
15843531,Ainhoa,1,2
15918991,Idoia,1,6
16436199,Eva,1,1
16665297,Dir,1,2
16855092,Monika,1,6
17122408,Katherine,1,4
17187095,Espe,1,3
17326619,Myriam,1,2
17444441,Lourdes,1,2
17544770,Jon,1,2
17720409,Rudy,1,4
17862112,Ramón,1,8
17863260,Maria Jose,1,3
17873844,Mikel,1,2
17941053,Carmen,1,2
17952471,Eneko Gotzon,1,2
18033285,Itziar,1,8
18252227,José Mari,1,2
18260192,Daniel,1,4
18265987,Carmen,1,5
18326048,Lander,1,2
18676106,Javi,1,2
18679491,Estanislao,1,1
18910266,Alicia,1,6
18953953,Felix,1,4
19024359,Mikel,1,5
19131427,Nagore,1,6
19287380,Pablo,1,4
19574576,Akari,1,2
19792013,Jon,1,4
20149704,Ignacio,1,3
20308301,Nora,1,2
20566839,Mariajose,1,4
20567534,Jesus,1,6
20642917,Fernando,1,4
20689842,Lu,1,4
21115873,Ana,1,3
21203493,Juan,1,5
21623734,Aitor,1,2
21758026,Carolina,1,3
21920693,Jokin,1,2
22291494,Maritxu,1,4
22523569,Monse,1,4
22707602,Julen,1,3
22790655,Andoni,1,1
23350301,Mai,1,4
23406046,Kevin,1,4
