"","id","url","longitude","latitude","found","revised","host.id","room_type","bedrooms","capacity","reviews","min_nights","price","name","img","barrio","umenores"
"1725","airbnb13041101","https://www.airbnb.es/rooms/13041101",-2.015431,43.31245,"2018-04-05 23:54:34.580000","2018-04-15 08:36:46.746000","airbnb64219361","private_room",1,3,14,2,102,"Habitacion con desayuno, wifi y bano incorporado","https://a0.muscache.com/im/pictures/3620729a-ae06-4889-9081-5c5e64380258.jpg?aki_policy=medium","Ibaeta","Arriola"
"1726","airbnb13357191","https://www.airbnb.es/rooms/13357191",-2.015403,43.312489,"2018-04-07 13:20:59.089000","2018-04-15 15:07:41.555000","airbnb64219361","private_room",2,5,8,2,222,"Dos habitaciones con terraza con vistas y desayuno","https://a0.muscache.com/im/pictures/bb756f7e-282a-4dda-b02f-22103f8f4915.jpg?aki_policy=medium","Ibaeta","Arriola"
"1727","airbnb13096487","https://www.airbnb.es/rooms/13096487",-2.01524,43.312374,"2018-04-05 23:54:34.580000","2018-04-15 08:36:35.691000","airbnb64219361","private_room",1,3,14,2,121,"Habitacion con terraza y vistas, desayuno y wifi","https://a0.muscache.com/im/pictures/df06dc21-5648-43d6-b594-ea0a2cc92a60.jpg?aki_policy=medium","Ibaeta","Arriola"
"1728","airbnb18320164","https://www.airbnb.es/rooms/18320164",-2.00819563730139,43.3144185166518,"2017-08-16 18:39:35.813000","2017-09-08 09:52:57.106000","airbnb6598471","entire_home",3,5,3,3,239,"BAYVIEW: Terraza vistas al mar, garaje incluido","https://a0.muscache.com/im/pictures/50f77b51-833a-4ffa-a489-31c3c27eedfa.jpg?aki_policy=medium","Antiguo","Faro - Erregenea"
"1729","airbnb18699502","https://www.airbnb.es/rooms/18699502",-2.00785824842459,43.3135571544832,"2018-04-07 13:21:16.725000","2018-04-15 15:10:03.072000","airbnb124008929","entire_home",4,7,1,1,349,"Playa de Ondarreta by FeelFree Rentals","https://a0.muscache.com/im/pictures/9e96825d-a9a9-48df-a926-313b051a7930.jpg?aki_policy=medium","Antiguo","Ondarreta"
"1730","airbnb16822320","https://www.airbnb.es/rooms/16822320",-2.0085872140089,43.3136561355884,"2017-08-16 18:39:31.636000","2017-09-08 09:53:06.769000","airbnb6598471","entire_home",3,6,5,3,149,"DONIBANE:Tranquilidad, playa, familias, 6 personas","https://a0.muscache.com/im/pictures/5d651470-53b2-4d61-a6c8-1c3c213a5eea.jpg?aki_policy=medium","Antiguo","Ondarreta"
"1731","airbnb1788424","https://www.airbnb.es/rooms/1788424",-2.00879090358641,43.3132058325752,"2017-08-16 18:39:27.606000","2018-04-15 08:36:50.014000","airbnb1320625","entire_home",2,4,65,4,107,"Piso de lujo en la playa. Garaje y WIFI incluidos","https://a0.muscache.com/im/pictures/25470445/4f3bf3fd_original.jpg?aki_policy=medium","Antiguo","Ondarreta"
"1732","airbnb15285746","https://www.airbnb.es/rooms/15285746",-2.01009401763341,43.3137554626496,"2017-08-16 18:39:27.605000","2018-04-15 08:37:31.233000","airbnb97292628","entire_home",3,6,13,3,149,"Acogedor piso a 300 metros de la playa con parking","https://a0.muscache.com/im/pictures/2a741756-9492-435f-9127-ec3c6d754301.jpg?aki_policy=medium","Antiguo","Ondarreta"
"1733","airbnb6487451","https://www.airbnb.es/rooms/6487451",-2.00872340097862,43.312443761746,"2018-04-07 13:20:55.697000","2018-04-15 15:06:29.876000","airbnb5254782","entire_home",2,4,12,2,114,"ZUBIMUXU * Always Easy","https://a0.muscache.com/im/pictures/83692108/899c4d95_original.jpg?aki_policy=medium","Antiguo","Ondarreta"
"1734","airbnb18699640","https://www.airbnb.es/rooms/18699640",-2.00882400300162,43.3127865912859,"2018-04-07 13:21:16.726000","2018-04-15 15:10:09.747000","airbnb124008929","entire_home",3,5,0,1,354,"Playa de Ondarreta 2 by FeelFree Rentals","https://a0.muscache.com/im/pictures/905533ec-448c-4fbb-be34-0a69ffbd6f06.jpg?aki_policy=medium","Antiguo","Ondarreta"
