id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price,reviews_20180912,lastreview_20180912,exists_20180912
airbnb599232778a46554f807af49f1061,https://www.airbnb.com/rooms/19697494,-2.9425945115344394,43.264664685218,2017-08-17 01:40:41.383000,2018-05-30 20:25:15.200000,airbnb16828328,private_room,0,2,3,1,83,9,2018-08-01 00:00:00,1
airbnb599232778a46554f807af49f1062,https://www.airbnb.com/rooms/19850470,-2.9430506763612696,43.26444682158378,2017-08-17 01:40:20.661000,2018-05-30 20:25:56.241000,airbnb105663223,entire_home,0,6,12,2,110,0,0,0
airbnb599232778a46554f807af49f1063,https://www.airbnb.com/rooms/24800850,-2.943388489660473,43.262903853140514,2018-05-25 07:41:19.903000,2018-05-30 20:25:08.199000,airbnb163195358,entire_home,3,5,0,2,95,14,2018-08-01 00:00:00,1
airbnb599232778a46554f807af49f1064,https://www.airbnb.com/rooms/5937819,-2.943,43.263,2017-08-17 01:40:36.991000,2018-05-30 20:26:56.352000,airbnb4743615,entire_home,4,6,91,2,179,95,2018-08-01 00:00:00,1
airbnb599232778a46554f807af49f1065,https://www.airbnb.com/rooms/14346567,-2.9421486313794913,43.26296159069319,2017-08-17 01:40:36.991000,2017-09-08 01:00:04.798000,airbnb51383826,entire_home,1,4,28,3,90,0,0,0
airbnb599232778a46554f807af49f1066,https://www.airbnb.com/rooms/22313254,-2.9423402810836685,43.26323042457352,2018-05-25 07:41:25.867000,2018-05-30 20:26:15.188000,airbnb27570356,entire_home,3,5,21,1,155,39,2018-08-01 00:00:00,1
airbnb599232778a46554f807af49f1067,https://www.airbnb.com/rooms/23012871,-2.942322120939932,43.263077825054175,2018-05-05 01:34:21.331000,2018-05-07 17:36:44.523000,airbnb2496106,entire_home,3,6,8,2,121,0,0,0
airbnb599232778a46554f807af49f1068,https://www.airbnb.com/rooms/8018947,-2.94206389058099,43.26378234692517,2017-08-17 01:40:28.711000,2018-05-30 20:26:46.684000,airbnb42341833,entire_home,1,2,51,14,119,52,2018-07-01 00:00:00,1
airbnb599232778a46554f807af49f1069,https://www.airbnb.com/rooms/24331152,-2.941807810556518,43.263548873192555,2018-05-25 07:41:33.782000,2018-05-30 20:28:55.071000,airbnb148487687,private_room,1,2,3,1,66,0,0,0
airbnb599232778a46554f807af49f1070,https://www.airbnb.com/rooms/13849457,-2.941217213236123,43.26295665912984,2017-08-17 01:40:41.382000,2017-09-08 01:00:17.232000,airbnb51383826,entire_home,2,5,16,3,100,0,0,0
airbnb599232778a46554f807af49f1071,https://www.airbnb.com/rooms/14712304,-2.9408112083485722,43.26323162910811,2017-08-17 08:03:03.858000,2017-09-08 01:00:23.269000,airbnb49254817,entire_home,2,5,52,1,125,0,0,0
