id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price,reviews_20181127,lastreview_20181127,exists_20181127
airbnb599232738a46554f807af4491,https://www.airbnb.com/rooms/20407971,-1.9712928914465997,43.32953336050721,2017-08-17 01:41:15.789000,2018-09-20 23:28:13.572000,airbnb145535875,entire_home,2,3,10,4,,16,2018-10-01 00:00:00,1
airbnb599232738a46554f807af4492,https://www.airbnb.com/rooms/22978058,-1.9711855046024855,43.327982024573444,2018-05-07 11:01:08.302000,2018-09-20 23:32:00.943000,airbnb15707672,entire_home,1,2,4,3,,8,2018-10-01 00:00:00,1
airbnb599232738a46554f807af4493,https://www.airbnb.com/rooms/12163858,-1.9715789053663664,43.32734477221137,2017-08-17 08:06:16.773000,2018-09-20 23:26:16.070000,airbnb40634373,entire_home,2,4,94,2,,101,2018-08-01 00:00:00,1
airbnb599232738a46554f807af4494,https://www.airbnb.com/rooms/20049421,-1.9715283787599043,43.327379294516625,2017-08-17 08:06:44.848000,2017-09-08 06:36:28.093000,airbnb13367653,entire_home,2,3,2,2,115,0,0,0
airbnb599232738a46554f807af4495,https://www.airbnb.com/rooms/25321023,-1.9714218077968568,43.327173212239636,2018-05-25 11:07:40.142000,2018-06-01 06:15:48.536000,airbnb186889827,private_room,0,1,0,10,143,0,0,1
airbnb599232738a46554f807af4496,https://www.airbnb.com/rooms/6984987,-1.9709988679951345,43.32735889165276,2017-08-17 08:06:16.772000,2017-09-08 06:36:38.550000,airbnb36623039,entire_home,2,4,86,2,80,0,0,0
airbnb599232738a46554f807af4497,https://www.airbnb.com/rooms/18030259,-1.970996373062613,43.327600951265,2017-08-17 08:06:16.773000,2018-09-20 23:30:15.269000,airbnb3952766,entire_home,2,3,22,2,,22,2018-06-01 00:00:00,1
airbnb599232738a46554f807af4498,https://www.airbnb.com/rooms/19939593,-1.9705146575892873,43.327432491356255,2017-08-17 08:06:40.748000,2017-09-08 06:36:49.516000,airbnb37985139,entire_home,2,5,2,3,155,0,0,0
airbnb599232738a46554f807af4499,https://www.airbnb.com/rooms/6817855,-1.9703905804470605,43.32715699424555,2017-08-17 08:06:44.848000,2017-09-08 06:36:55.478000,airbnb35700062,entire_home,1,2,10,2,80,0,0,0
airbnb599232738a46554f807af44910,https://www.airbnb.com/rooms/18954232,-1.9703792461276297,43.327307940638875,2017-08-17 08:06:20.479000,2017-09-08 06:37:01.807000,airbnb33605920,private_room,1,2,16,1,54,0,0,0
