estado,tipo,dirección,longitude,latitude
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 1, 04 - Dr",-1.979528602,43.3189989936
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 1, 04 - Iz",-1.979528602,43.3189989936
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 1, 05 - Dr  (5-Iz)",-1.979528602,43.3189989936
VUT_Favorable,Viviendas de uso turístico,"Arrasate 7, 01 - Iz",-1.9798592193,43.3188747995
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 9, 01 - E",-1.9806081392,43.3185891911
VUT_Favorable,Viviendas de uso turístico,"Arrasate 9, 01 - H",-1.9806081392,43.3185891911
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 12, 04 - B",-1.9806132108,43.3187136785
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 12, 06 - C",-1.9806132108,43.3187136785
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 12, 06 - D",-1.9806132108,43.3187136785
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 14, 06 - Iz",-1.9812233064,43.3184844575
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 17, 06 - Dr",-1.9812044294,43.3183668706
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 22, 07 - Dr",-1.9820331929,43.3181807435
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 23, 01 - B",-1.981884865,43.3181124297
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 25, 02 - Iz",-1.9820143023,43.318063877
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 26, 03 - Dr",-1.9821655038,43.3181299651
VUT_Favorable,Viviendas de uso turístico,Arrasate 31  1-Dcha,-1.9826969537,43.3178092708
VUT_Favorable,Viviendas de uso turístico,"Arrasate 33, 01 - Dr",-1.9827334382,43.3177956383
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 35, 04 - Dr",-1.9829239215,43.3177247561
VUT_Favorable,Viviendas de uso turístico,"Arrasate 47, 01",-1.9839443514,43.3173587886
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 47, 05 - Iz",-1.9839443514,43.3173587886
VUT_Favorable,Viviendas de uso turístico,"Arrasate 48, 01 - Dr",-1.9845301357,43.3172400893
VUT_Favorable,Viviendas de uso turístico,"Arrasate 48, 01 - Iz",-1.9845301357,43.3172400893
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 48, 02 - Id",-1.9845301357,43.3172400893
VUT_Favorable,Viviendas de uso turístico,"Arriberri,Gr 15, 01 - C",-1.9277728968,43.316828947
VUT_Favorable,Viviendas de uso turístico,"Arriola, Ps de 15, 01 - E",-2.0123141468,43.3102170317
VUT_Favorable,Viviendas de uso turístico,"Arriola, Ps de 19, 01 - E",-2.0129202612,43.310297362
VUT_Tramitacion,Viviendas de uso turístico,"Arritxulo,Cm de 40",-2.040577754,43.31008636
VUT_Tramitacion,Viviendas de uso turístico,"Arroka 2, 01 - C",-1.982740094,43.314476817
VUT_Tramitacion,Viviendas de uso turístico,"Arroka 2, 03 - D",-1.982740094,43.314476817
VUT_Tramitacion,Viviendas de uso turístico,"Arroka 2, 04 - A",-1.982740094,43.314476817
VUT_Favorable,Viviendas de uso turístico,"Arroka 3, 01 - 003  (1º C)",-1.9828188972,43.3143656819
VUT_Tramitacion,Viviendas de uso turístico,"Ategorrieta,Av de 3, Sm - Dcn",-1.9710241742,43.3224420228
VUT_Tramitacion,Viviendas de uso turístico,"Ategorrieta,Av de 25, 00 - Iz  (Entresuelo Izquierda)",-1.9687665596,43.3223480318
VUT_Tramitacion,Viviendas de uso turístico,"Ategorrieta,Av de 73, 06 - B  Leku Eder Berri",-1.9603982764,43.3220986638
VUT_Tramitacion,Viviendas de uso turístico,"Ategorrieta,Av de 81, 03 - Dr  Toki Alai  B",-1.9600044253,43.3218993253
VUT_Favorable,Viviendas de uso turístico,Autonomia 3  1º Dcha.,-1.9824117847,43.3135481429
VUT_Tramitacion,Viviendas de uso turístico,"Autonomia 8, 03 - C",-1.9822111158,43.3131587131
VUT_Tramitacion,Viviendas de uso turístico,"Autonomia 22, 03 - A",-1.9817773564,43.3117224147
VUT_Tramitacion,Viviendas de uso turístico,"Autonomia 25, 01 - C",-1.9817289611,43.3109282361
VUT_Favorable,Viviendas de uso turístico,Azpeitia 2  1º C,-1.9804351364,43.3099436818
VUT_Tramitacion,Viviendas de uso turístico,"Azpeitia 3, 01 - A",-1.9806142722,43.3097241276
VUT_Tramitacion,Viviendas de uso turístico,"Azpeitia 3, 08 - A",-1.9806142722,43.3097241276
VUT_Tramitacion,Viviendas de uso turístico,"Azpeitia 9, 02 - D",-1.9811847251,43.3096629374
VUT_Tramitacion,Viviendas de uso turístico,"Balleneros 4, 02 - D",-1.974801654,43.306250456
VUT_Tramitacion,Viviendas de uso turístico,"Balleneros 6, 02 - C",-1.9747958716,43.3061543259
VUT_Tramitacion,Viviendas de uso turístico,"Barcelona,Av de 10, 04 - B",-1.9714671584,43.3093275261
VUT_Tramitacion,Viviendas de uso turístico,"Barcelona,Av de 16, 02 - A",-1.9715076101,43.3098901316
VUT_Tramitacion,Viviendas de uso turístico,"Barcelona,Av de 23, 01 - A",-1.9721140051,43.3098699203
VUT_Favorable,Viviendas de uso turístico,"Barcelona,Av de 43  1ºb",-1.9722779742,43.3121108158
VUT_Tramitacion,Viviendas de uso turístico,"Batxillardegi,Gr 10, 03 - A",-1.966562561,43.309151668
VUT_Favorable,Viviendas de uso turístico,"Baztan 16, En - 003",-1.9694379351,43.3190894134
VUT_Favorable,Viviendas de uso turístico,Belizalde 14  1º Izda.,-1.9874818572,43.3099090342
VUT_Tramitacion,Viviendas de uso turístico,"Bengoetxea 1, 03 - Iza",-1.9814864831,43.3218507022
VUT_Tramitacion,Viviendas de uso turístico,"Bengoetxea 1, 03 - Izb",-1.9814864831,43.3218507022
VUT_Tramitacion,Viviendas de uso turístico,"Bengoetxea 3, 01 - Ii  1º Izda. Izda.",-1.9816840742,43.3217760135
VUT_Tramitacion,Viviendas de uso turístico,"Bengoetxea 3, 04 - Dd",-1.9816840742,43.3217760135
VUT_Tramitacion,Viviendas de uso turístico,"Bentaberri, Pz de 1, Bh  7º Ctr",-2.0048852393,43.3123318191
VUT_Tramitacion,Viviendas de uso turístico,"Berabera, Ps de 87.G",-1.995117036,43.3061520633
VUT_Favorable,Viviendas de uso turístico,"Bergara 2, 01 - D",-1.9808036473,43.3196935346
VUT_Favorable,Viviendas de uso turístico,Bergara 11  1º A,-1.9802442362,43.3191995137
VUT_Favorable,Viviendas de uso turístico,"Bergara 16, 01 - A",-1.9801109832,43.3187018173
VUT_Favorable,Viviendas de uso turístico,"Bergara 16, 01 - B",-1.9801109832,43.3187018173
VUT_Favorable,Viviendas de uso turístico,"Bergara 16, 02 - B",-1.9801109832,43.3187018173
VUT_Tramitacion,Viviendas de uso turístico,"Bergara 16, 03 - A",-1.9801109832,43.3187018173
VUT_Tramitacion,Viviendas de uso turístico,"Bergara 16, 03 - B",-1.9801109832,43.3187018173
VUT_Tramitacion,Viviendas de uso turístico,"Bergara 18, 02 - Dr",-1.9800086666,43.318559174
VUT_Tramitacion,Viviendas de uso turístico,"Bergara 18, 04 - A",-1.9800086666,43.318559174
VUT_Favorable,Viviendas de uso turístico,"Berio, Ps de 29  Bajo Local Bc",-2.0159420231,43.3067297864
VUT_Favorable,Viviendas de uso turístico,"Bermingham 1-Dr, 01 - Dr",-1.973454077,43.3253493483
VUT_Favorable,Viviendas de uso turístico,"Bermingham 1-Dr, 01 - Iz",-1.973454077,43.3253493483
VUT_Tramitacion,Viviendas de uso turístico,"Bermingham 5, 01 - Dr",-1.9729980313,43.3250017327
VUT_Tramitacion,Viviendas de uso turístico,"Bermingham 5, 03 - Dr",-1.9729980313,43.3250017327
VUT_Tramitacion,Viviendas de uso turístico,"Bermingham 6, 01 - Dd",-1.9730790792,43.3249056622
VUT_Tramitacion,Viviendas de uso turístico,"Bermingham 6, 05 - Ii",-1.9730790792,43.3249056622
VUT_Tramitacion,Viviendas de uso turístico,"Bermingham 6, 06 - Id",-1.9730790792,43.3249056622
VUT_Favorable,Viviendas de uso turístico,"Bermingham 7, 01 - Dr",-1.9729683146,43.3249793148
VUT_Tramitacion,Viviendas de uso turístico,"Bermingham 11, 04 - Dr",-1.972758762,43.3248184135
VUT_Tramitacion,Viviendas de uso turístico,"Bermingham 15, 02 - Iz",-1.9723761607,43.3245262924
VUT_Tramitacion,Viviendas de uso turístico,"Bermingham 17, 01 - F",-1.9722437868,43.3244258734
