estado,tipo,dirección,x,y
VUT_Favorable,"Viviendas de uso turístico","Arrasate    7,    01 - Iz","582718.98","4796731.53"
VUT_Tramitacion,"Viviendas de uso turístico","Arrasate    9,    01 - E","582658.64","4796699.07"
VUT_Favorable,"Viviendas de uso turístico","Arrasate    9,    01 - H","582658.64","4796699.07"
VUT_Tramitacion,"Viviendas de uso turístico","Arrasate   12,    04 - B","582658.06","4796712.89"
VUT_Tramitacion,"Viviendas de uso turístico","Arrasate   12,    06 - C","582658.06","4796712.89"
VUT_Tramitacion,"Viviendas de uso turístico","Arrasate   12,    06 - D","582658.06","4796712.89"
VUT_Tramitacion,"Viviendas de uso turístico","Arrasate   14,    06 - Iz","582608.9","4796686.83"
VUT_Tramitacion,"Viviendas de uso turístico","Arrasate   17,    06 - Dr","582610.59","4796673.79"
VUT_Tramitacion,"Viviendas de uso turístico","Arrasate   22,    07 - Dr","582543.64","4796652.3"
VUT_Tramitacion,"Viviendas de uso turístico","Arrasate   23,    01 - B","582555.76","4796644.86"
VUT_Tramitacion,"Viviendas de uso turístico","Arrasate   25,    02 - Iz","582545.33","4796639.34"
VUT_Tramitacion,"Viviendas de uso turístico","Arrasate   26,    03 - Dr","582532.98","4796646.53"
VUT_Favorable,"Viviendas de uso turístico","Arrasate   31  1-Dcha","582490.32","4796610.39"
VUT_Favorable,"Viviendas de uso turístico","Arrasate   33,    01 - Dr","582487.38","4796608.84"
VUT_Tramitacion,"Viviendas de uso turístico","Arrasate   35,    04 - Dr","582472.03","4796600.78"
VUT_Favorable,"Viviendas de uso turístico","Arrasate   47,    01","582389.78","4796559.13"
VUT_Tramitacion,"Viviendas de uso turístico","Arrasate   47,    05 - Iz","582389.78","4796559.13"
VUT_Favorable,"Viviendas de uso turístico","Arrasate   48,    01 - Dr","582342.44","4796545.37"
VUT_Favorable,"Viviendas de uso turístico","Arrasate   48,    01 - Iz","582342.44","4796545.37"
VUT_Tramitacion,"Viviendas de uso turístico","Arrasate   48,    02 - Id","582342.44","4796545.37"
VUT_Favorable,"Viviendas de uso turístico","Arriberri,Gr   15,    01 - C","586945.39","4796557.24"
VUT_Favorable,"Viviendas de uso turístico","Arriola,Ps de   15,    01 - E","580098.7","4795738.4"
VUT_Favorable,"Viviendas de uso turístico","Arriola,Ps de   19,    01 - E","580049.44","4795746.74"
VUT_Tramitacion,"Viviendas de uso turístico","Arritxulo,Cm de   40","577806.75","4795697.17"
VUT_Tramitacion,"Viviendas de uso turístico","Arroka    2,    01 - C","582491.33","4796240.26"
VUT_Tramitacion,"Viviendas de uso turístico","Arroka    2,    03 - D","582491.33","4796240.26"
VUT_Tramitacion,"Viviendas de uso turístico","Arroka    2,    04 - A","582491.33","4796240.26"
VUT_Favorable,"Viviendas de uso turístico","Arroka    3,    01 - 003  (1º C)","582485.09","4796227.84"
VUT_Tramitacion,"Viviendas de uso turístico","Ategorrieta,Av de    3,    Sm - Dcn","583430.5","4797136.48"
VUT_Tramitacion,"Viviendas de uso turístico","Ategorrieta,Av de   25,    00 - Iz  (Entresuelo Izquierda)","583613.68","4797128.3"
VUT_Tramitacion,"Viviendas de uso turístico","Ategorrieta,Av de   73,    06 - B  Leku Eder Berri","584292.54","4797109.02"
VUT_Tramitacion,"Viviendas de uso turístico","Ategorrieta,Av de   81,    03 - Dr  Toki Alai  B","584324.75","4797087.28"
VUT_Favorable,"Viviendas de uso turístico","Autonomia    3  1º Dcha.","582519.21","4796137.45"
VUT_Tramitacion,"Viviendas de uso turístico","Autonomia    8,    03 - C","582536.01","4796094.4"
VUT_Tramitacion,"Viviendas de uso turístico","Autonomia   22,    03 - A","582573.13","4795935.32"
VUT_Tramitacion,"Viviendas de uso turístico","Autonomia   25,    01 - C","582578.13","4795847.17"
VUT_Favorable,"Viviendas de uso turístico","Azpeitia    2  1º C","582684.39","4795739.11"
VUT_Tramitacion,"Viviendas de uso turístico","Azpeitia    3,    01 - A","582670.16","4795714.55"
VUT_Tramitacion,"Viviendas de uso turístico","Azpeitia    3,    08 - A","582670.16","4795714.55"
VUT_Tramitacion,"Viviendas de uso turístico","Azpeitia    9,    02 - D","582623.98","4795707.19"
VUT_Tramitacion,"Viviendas de uso turístico","Balleneros    4,    02 - D","583146.29","4795334.55"
VUT_Tramitacion,"Viviendas de uso turístico","Balleneros    6,    02 - C","583146.89","4795323.88"
VUT_Tramitacion,"Viviendas de uso turístico","Barcelona,Av de   10,    04 - B","583412.52","4795679.6"
VUT_Tramitacion,"Viviendas de uso turístico","Barcelona,Av de   16,    02 - A","583408.47","4795742.04"
VUT_Tramitacion,"Viviendas de uso turístico","Barcelona,Av de   23,    01 - A","583359.32","4795739.19"
VUT_Favorable,"Viviendas de uso turístico","Barcelona,Av de   43  1ºb","583342.96","4795987.89"
VUT_Tramitacion,"Viviendas de uso turístico","Batxillardegi,Gr   10,    03 - A","583810.52","4795664.98"
VUT_Favorable,"Viviendas de uso turístico","Baztan   16,    En - 003","583563.71","4796765.74"
VUT_Favorable,"Viviendas de uso turístico","Belizalde   14  1º Izda.","582112.96","4795728.31"
VUT_Tramitacion,"Viviendas de uso turístico","Bengoetxea    1,    03 - Iza","582583","4797060.41"
VUT_Tramitacion,"Viviendas de uso turístico","Bengoetxea    1,    03 - Izb","582583","4797060.41"
VUT_Tramitacion,"Viviendas de uso turístico","Bengoetxea    3,    01 - Ii  1º Izda. Izda.","582567.08","4797051.92"
VUT_Tramitacion,"Viviendas de uso turístico","Bengoetxea    3,    04 - Dd","582567.08","4797051.92"
VUT_Tramitacion,"Viviendas de uso turístico","Bentaberri,Pz de    1,    Bh  7º Ctr","580698.37","4795980.41"
VUT_Tramitacion,"Viviendas de uso turístico","Berabera,Ps de   87.G","581498.78","4795303.6"
VUT_Favorable,"Viviendas de uso turístico","Bergara    2,    01 - D","582641.29","4796821.52"
VUT_Favorable,"Viviendas de uso turístico","Bergara   11  1º A","582687.32","4796767.21"
VUT_Favorable,"Viviendas de uso turístico","Bergara   16,    01 - A","582698.8","4796712.07"
VUT_Favorable,"Viviendas de uso turístico","Bergara   16,    01 - B","582698.8","4796712.07"
VUT_Favorable,"Viviendas de uso turístico","Bergara   16,    02 - B","582698.8","4796712.07"
VUT_Tramitacion,"Viviendas de uso turístico","Bergara   16,    03 - A","582698.8","4796712.07"
VUT_Tramitacion,"Viviendas de uso turístico","Bergara   16,    03 - B","582698.8","4796712.07"
VUT_Tramitacion,"Viviendas de uso turístico","Bergara   18,    02 - Dr","582707.29","4796696.33"
VUT_Tramitacion,"Viviendas de uso turístico","Bergara   18,    04 - A","582707.29","4796696.33"
VUT_Favorable,"Viviendas de uso turístico","Berio,Ps de   29  Bajo Local Bc","579809.05","4795347.65"
VUT_Favorable,"Viviendas de uso turístico","Bermingham    1-Dr,    01 - Dr","583229.51","4797456.93"
VUT_Favorable,"Viviendas de uso turístico","Bermingham    1-Dr,    01 - Iz","583229.51","4797456.93"
VUT_Tramitacion,"Viviendas de uso turístico","Bermingham    5,    01 - Dr","583266.96","4797418.78"
VUT_Tramitacion,"Viviendas de uso turístico","Bermingham    5,    03 - Dr","583266.96","4797418.78"
VUT_Tramitacion,"Viviendas de uso turístico","Bermingham    6,    01 - Dd","583260.52","4797408.03"
VUT_Tramitacion,"Viviendas de uso turístico","Bermingham    6,    05 - Ii","583260.52","4797408.03"
VUT_Tramitacion,"Viviendas de uso turístico","Bermingham    6,    06 - Id","583260.52","4797408.03"
VUT_Favorable,"Viviendas de uso turístico","Bermingham    7,    01 - Dr","583269.4","4797416.32"
VUT_Tramitacion,"Viviendas de uso turístico","Bermingham   11,    04 - Dr","583286.61","4797398.66"
VUT_Tramitacion,"Viviendas de uso turístico","Bermingham   15,    02 - Iz","583318.03","4797366.6"
VUT_Tramitacion,"Viviendas de uso turístico","Bermingham   17,    01 - F","583328.9","4797355.58"
VUT_Tramitacion,"Viviendas de uso turístico","Bermingham   21,    06 - A","583368.44","4797320.35"
VUT_Favorable,"Viviendas de uso turístico","Bermingham   23,    01 - A","583374.88","4797313.86"
VUT_Tramitacion,"Viviendas de uso turístico","Bermingham   24,    02 - C","583411.65","4797250.03"
VUT_Favorable,"Viviendas de uso turístico","Bermingham   31,    01 - A","583422.78","4797265.29"
VUT_Tramitacion,"Viviendas de uso turístico","Bermingham   31,    07 - B","583422.78","4797265.29"
VUT_Tramitacion,"Viviendas de uso turístico","Biteri,Pz de    2,    En - B","583131.3","4797207.28"
VUT_Tramitacion,"Viviendas de uso turístico","Bizkaia,Ps de   16,    04 - B","582809.17","4795590.67"
VUT_Tramitacion,"Viviendas de uso turístico","Blas de Lezo    4,    04 - Iz","582233.54","4796432.89"
VUT_Tramitacion,"Viviendas de uso turístico","Blas de Lezo    4,    Bh  (6º)","582233.54","4796432.89"
VUT_Tramitacion,"Viviendas de uso turístico","Bordatxipi,Ps de   10  Edificio Entero","584318.31","4797169.18"
VUT_Tramitacion,"Viviendas de uso turístico","Boulevard,Al del    3,    01 - A","582521.53","4797140.74"
VUT_Favorable,"Viviendas de uso turístico","Boulevard,Al del    7,    01 - C","582472.97","4797114.88"
VUT_Favorable,"Viviendas de uso turístico","Boulevard,Al del    9,    00  Principal C","582456.98","4797106.44"
VUT_Favorable,"Viviendas de uso turístico","Boulevard,Al del   10  1º D","582395.57","4797138.96"
VUT_Favorable,"Viviendas de uso turístico","Boulevard,Al del   11,    01 - Iz","582453.88","4797104.87"
VUT_Favorable,"Viviendas de uso turístico","Boulevard,Al del   18  Entlo. Dcha.","582330.03","4797128.04"
VUT_Favorable,"Viviendas de uso turístico","Boulevard,Al del   18  Entlo. Izda.","582330.03","4797128.04"
VUT_Favorable,"Viviendas de uso turístico","Boulevard,Al del   18  Entlo. Izda.","582330.03","4797128.04"
VUT_Favorable,"Viviendas de uso turístico","Boulevard,Al del   18,    01 - Dr","582330.03","4797128.04"
VUT_Tramitacion,"Viviendas de uso turístico","Boulevard,Al del   19,    01","582381.22","4797066.43"
VUT_Favorable,"Viviendas de uso turístico","Boulevard,Al del   23,    01 - A","582338.63","4797043.81"
VUT_Tramitacion,"Viviendas de uso turístico","Boulevard,Al del   23,    04 - D","582338.63","4797043.81"
VUT_Tramitacion,"Viviendas de uso turístico","Boulevard,Al del   23,    06 - B","582338.63","4797043.81"
VUT_Favorable,"Viviendas de uso turístico","Boulevard,Al del   24,    En - B  Entresuelo B","582283.31","4797111.29"
VUT_Favorable,"Viviendas de uso turístico","Boulevard,Al del   26,    En - Iz","582278.27","4797109.42"
