id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
132068,Great attic+terrace+parking. Beach views. ESS00578,648938,Mikel,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32520142015621,-1.9720910362055915,Entire home/apt,79,1,400,2019-01-26,4.29,1,197
142760,Apartment with ocean views,693119,Andre,Vizcaya,Busturia,43.39062439875396,-2.694701128555592,Entire home/apt,91,4,34,2018-08-31,0.37,1,273
223952,Caserío en la Costa Vasca,1040085,Diego,Vizcaya,Ibarrangelu,43.394257692970534,-2.6464831401417217,Entire home/apt,150,7,9,2018-08-25,0.11,1,175
239971,Beautiful Rural house near Bilbao,1258788,Maria Lourdes,Vizcaya,Mungai,43.380183411326065,-2.8241253360179974,Private room,73,2,0,,,3,347
284548,Welcome to the Seventh heaven,1476752,Ibon,Vizcaya,Bilbao,43.26320387920924,-2.9238105473556417,Entire home/apt,100,1,111,2018-12-01,1.35,1,29
286084,Habitación independiente con baño privado,1465243,Isabel,GuipÃºzcoa,Irun,43.337568678527745,-1.8190428716051557,Private room,52,2,39,2018-10-14,2.19,1,350
309802,Luxury w/terrace near the beach WIF,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.315824402253305,-2.0039371068094978,Entire home/apt,195,3,4,2018-04-19,0.07,8,342
309813,Near the beach with terrace WIFI,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31477665842496,-1.9873444816000334,Entire home/apt,78,31,12,2018-06-02,0.14,8,318
309828,Modern apt with beach view WIFI.,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31630771865086,-1.986171484824856,Entire home/apt,78,31,32,2017-09-24,0.52,8,0
309830,Gorgeus modern design WIFI Beach,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.3167881011914,-1.9862419399419828,Entire home/apt,86,31,19,2018-07-11,0.27,8,334
329695,"By Guggenheim museum. For ""Game of Thrones"" fans",1683082,Gorka,Vizcaya,Plentzia,43.405853916053054,-2.9482407867949294,Entire home/apt,180,3,5,2018-09-14,0.74,1,334
341691,rent room for days,1733722,Itziar,Vizcaya,Bilbao,43.263171477569884,-2.947518264172488,Private room,50,2,16,2018-11-04,1.00,1,353
360571,Refurbished 2 bedroom flat Donostia,1823300,Jon & Manex,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.304530604245066,-1.9755394535206965,Entire home/apt,150,4,21,2018-11-03,0.64,9,355
386301,Confortable next to surfing beach ,1933529,Ainhoa,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32412291896107,-1.9707051680317516,Entire home/apt,100,2,192,2019-01-28,2.81,1,280
386818,Cabaña de madera vistas al mar,1932775,Ihintza,GuipÃºzcoa,Hondarribia,43.37334551249352,-1.8061859228873574,Entire home/apt,55,1,388,2019-01-27,6.51,1,323
393715,Apartamento en Costa Vasca,1968496,Concha,GuipÃºzcoa,Mutriku,43.30779741665442,-2.3869079615153983,Entire home/apt,65,3,62,2018-11-04,0.78,2,293
404270,old part San Sebastian single room,2015934,Jon,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32442363879973,-1.9838416302553608,Private room,50,2,8,2017-07-25,0.15,4,119
417854,Double room in Comfy & spacious apt,1823300,Jon & Manex,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.30529711128604,-1.9800035226045973,Private room,80,2,46,2019-01-01,0.57,9,355
424487, Apartamento Gorliz Playa - Vizcaya,2110227,Koldo,Vizcaya,Gorliz,43.413619392596665,-2.9366175992018904,Entire home/apt,90,4,32,2018-09-04,0.41,1,350
