id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
132068,Great attic+terrace+parking. Beach views. ESS00578,648938,Mikel,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.3252,-1.97209,Entire home/apt,79,1,404,2019-02-10,4.30,1,160
142760,Apartment with ocean views,693119,Andre,Vizcaya,Busturia,43.39062,-2.6947,Entire home/apt,91,4,34,2018-08-31,0.37,1,273
223952,Caserío en la Costa Vasca,1040085,Diego,Vizcaya,Ibarrangelu,43.39426,-2.64648,Entire home/apt,150,7,9,2018-08-25,0.11,1,188
239971,Beautiful Rural house near Bilbao,1258788,Maria Lourdes,Vizcaya,Mungai,43.38018,-2.82413,Private room,73,2,0,,,3,350
286084,Habitación independiente con baño privado,1465243,Isabel,GuipÃºzcoa,Irun,43.33757,-1.81904,Private room,52,2,39,2018-10-14,2.11,1,354
309802,Luxury w/terrace near the beach WIF,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31582,-2.00394,Entire home/apt,195,3,4,2018-04-19,0.07,8,342
309813,Near the beach with terrace WIFI,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31478,-1.98734,Entire home/apt,78,31,12,2018-06-02,0.14,8,334
309828,Modern apt with beach view WIFI.,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31631,-1.98617,Entire home/apt,78,31,32,2017-09-24,0.51,8,0
309830,Gorgeus modern design WIFI Beach,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31679,-1.98624,Entire home/apt,86,31,19,2018-07-11,0.27,8,334
329695,"By Guggenheim museum. For ""Game of Thrones"" fans",1683082,Gorka,Vizcaya,Plentzia,43.40585,-2.94824,Entire home/apt,180,3,5,2018-09-14,0.68,1,318
341691,rent room for days,1733722,Itziar,Vizcaya,Bilbao,43.26317,-2.94752,Private room,50,2,16,2018-11-04,0.96,1,348
360571,Refurbished 2 bedroom flat Donostia,1823300,Jon & Manex,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.30453,-1.97554,Entire home/apt,150,4,21,2018-11-03,0.62,9,345
376823,"Elegant palace with a privat foret,",1716909,Joxeanjel,GuipÃºzcoa,Oiartzun,43.2971,-1.86289,Entire home/apt,800,7,0,,,1,365
386301,Confortable next to surfing beach ,1933529,Ainhoa,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32412,-1.97071,Entire home/apt,100,2,195,2019-02-17,2.83,1,251
386818,Cabaña de madera vistas al mar,1932775,Ihintza,GuipÃºzcoa,Hondarribia,43.37335,-1.80619,Entire home/apt,55,1,391,2019-02-13,6.48,1,296
393715,Apartamento en Costa Vasca,1968496,Concha,GuipÃºzcoa,Mutriku,43.3078,-2.38691,Entire home/apt,65,3,62,2018-11-04,0.77,2,311
404270,old part San Sebastian single room,2015934,Jon,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32442,-1.98384,Private room,50,2,8,2017-07-25,0.15,4,0
417854,Double room in Comfy & spacious apt,1823300,Jon & Manex,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.3053,-1.98,Private room,80,2,46,2019-01-01,0.56,9,344
424487, Apartamento Gorliz Playa - Vizcaya,2110227,Koldo,Vizcaya,Gorliz,43.41362,-2.93662,Entire home/apt,90,4,32,2018-09-04,0.40,1,350
429657,"Glasshouse by the SEA /40 km Bilbao, Parking.",1986539,Igor,Vizcaya,Ibarrangelu,43.38659,-2.63097,Entire home/apt,90,3,58,2019-01-02,0.90,2,256
429887,old part SS double room,2015934,Jon,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32489,-1.98353,Private room,60,3,14,2017-06-21,0.27,4,2
430475,Terrace apartement next to beach,2131752,Ana,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31274,-2.00474,Entire home/apt,150,4,21,2018-08-30,0.48,1,50
443362,old part of SS singel room,2015934,Jon,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32466,-1.98436,Private room,30,2,5,2018-02-25,0.11,4,0
452464,Best of both worlds - mountains/city (3 rooms),1141079,Sally & Rober,Vizcaya,Durango,43.15336,-2.61773,Private room,130,2,60,2018-10-17,0.74,4,126
456366,City Center Private Room + Bathroom,59550,Maite,Vizcaya,Bilbao,43.26258,-2.9433,Private room,95,2,58,2018-11-04,0.72,3,0
456706,Your Place JUST right in the CENTER,59550,Maite,Vizcaya,Bilbao,43.26456,-2.94349,Private room,75,2,33,2018-09-12,0.41,3,345
457366,old part SS  3 bed room,2015934,Jon,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32305,-1.98257,Private room,63,2,10,2016-05-29,0.12,4,0
458864,"Beautiful Room, Sea view, Heart of City Center",2281404,Ana Isabel,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32226,-1.98788,Private room,45,2,66,2019-01-02,0.82,2,59
491403,Mountains/city - twin room own bath,1141079,Sally & Rober,Vizcaya,AbadiÃ±o,43.15173,-2.61799,Private room,57,1,38,2018-12-29,0.48,4,336
492561,Mountains and city: Two twin rooms,1141079,Sally & Rober,Vizcaya,Durango,43.15249,-2.61748,Private room,93,1,18,2018-08-11,0.23,4,338
492633,Mountains and city: Double ensuite,1141079,Sally & Rober,Vizcaya,AbadiÃ±o,43.1538,-2.61728,Private room,58,1,99,2018-12-30,1.25,4,335
533925,Zeaietaberri Rural house,1659388,Zelaieta,GuipÃºzcoa,Deba,43.28019,-2.32512,Entire home/apt,225,5,8,2018-01-06,0.11,1,252
544285,Have a great time near to the sea,2676178,Columba,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.30991,-2.00161,Private room,55,1,303,2018-12-10,3.76,2,327
547513,Nice sunny room near Zurriola Beach,2691611,Daniela,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32432,-1.97208,Private room,75,2,16,2018-08-04,0.20,2,299
559545,107m2 en el centro de Labastida,2750534,Josefa,Ãlava,Labastida,42.58841,-2.7915,Entire home/apt,70,2,30,2019-02-16,0.39,1,283
565505,Beautiful and sunny flat in Gros,2691611,Daniela,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32546,-1.97133,Entire home/apt,155,2,8,2018-07-06,0.10,2,197
592243,"Bilbao center, wifi, near museums, awesome!",2697257,Maria,Vizcaya,Bilbao,43.2548,-2.93473,Private room,27,1,325,2019-02-09,4.06,1,166
592870,VITORIA EUROPEAN GREEN CAPITAL ,2683577,Patxi,Ãlava,Vitoria-Gasteiz,42.84917,-2.64918,Private room,45,2,20,2018-11-11,0.26,1,89
605611,"cool room, nice flat, fun people",2977232,Sebastian,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32427,-1.96793,Private room,40,2,31,2018-09-24,0.39,2,0
