"id","latitude","longitude","price","accommodates","room_type","host_id","host_name"
15453886,43.3147877526618,-1.98621064127593,28,4,"Entire home/apt",94205663,"Paula"
15388317,43.3148736213826,-1.98764510782508,80,5,"Entire home/apt",98189424,"Iberorent Apartments"
16076453,43.3262153367113,-1.97310213994966,144,3,"Entire home/apt",12954077,"Aritz"
6114948,43.3146357876388,-1.98938884289356,22,4,"Entire home/apt",15707672,"The Rentals Collection"
14077558,43.3093701952475,-2.00335546006606,178,4,"Entire home/apt",25365334,"Joseba"
13389434,43.3081945387035,-1.98129464419645,63,4,"Entire home/apt",50920106,"Concepcion"
14063426,43.3223847579304,-1.9851015481238,148,2,"Private room",84424576,"Terence"
7327351,43.3026663584897,-1.97937926102179,40,5,"Entire home/apt",38381170,"Mari Carmen"
12504696,43.3223619176606,-1.97862219770344,178,2,"Entire home/apt",5254782,"Always Easy"
14000878,43.3227645337246,-1.97787339516434,115,1,"Private room",149691,"Alex"
9645009,43.300948335017,-2.07241932794208,130,2,"Private room",49871447,"Ibon"
2896777,43.3238547585589,-1.98394917856325,163,2,"Entire home/apt",3952766,"Jon"
12725191,43.3040326825763,-1.97979095254386,96,1,"Private room",69188309,"Leandro"
1780666,43.322387335044,-1.98703349647242,158,2,"Private room",149691,"Alex"
5606296,43.3145246874122,-2.0001070914984,141,2,"Entire home/apt",17444441,"Jon"
13159326,43.3122600258007,-2.00379056263037,22,4,"Entire home/apt",69375962,"Michel"
6998934,43.3078309828047,-2.05851505271369,170,2,"Private room",20367848,"Mariajose"
10084868,43.3190623455246,-1.98084217950706,65,4,"Entire home/apt",13343635,"Andrea"
3484560,43.3252836152476,-1.98401206155797,132,2,"Private room",17544770,"Juana & Aitor"
8039313,43.3153374565042,-1.98222424391595,170,4,"Entire home/apt",42455382,"Oier"
13904780,43.3164144445308,-1.98762818397884,15,6,"Entire home/apt",50920106,"Concepcion"
16182153,43.3170459868549,-1.98754158520626,10,10,"Entire home/apt",105663223,"Pedro"
11840392,43.3235467229413,-1.97877376089534,149,2,"Private room",149691,"Alex"
2452343,43.3180988764263,-1.98366204137665,173,6,"Entire home/apt",4614604,"Apartamentos Donostia"
12544893,43.3217942700222,-1.98637176356633,152,2,"Private room",67141855,"Isabel & Aitor"
1895286,43.3061761617841,-1.9695141401529,180,7,"Entire home/apt",9848033,"Lola"
6978924,43.312716720413,-1.98835362703974,8,6,"Entire home/apt",36595893,"Pomen"
13737301,43.2971698901949,-1.97330527643236,110,2,"Private room",76289581,"Asier"
12213602,43.294502861222,-1.95521894546718,94,1,"Private room",22790655,"Mai"
13573456,43.3201122707292,-1.98311823883691,8,2,"Entire home/apt",15707672,"The Rentals Collection"
10427709,43.3115026683868,-2.00506241004192,178,6,"Entire home/apt",53442582,"Jose Luis"
3677490,43.3188236209979,-1.98029210130773,110,1,"Private room",18679491,"Alicia"
10444083,43.3239133705462,-1.96950406844044,176,4,"Entire home/apt",18192487,"José Mari"
10064404,43.3187671761341,-1.98097344543658,67,4,"Entire home/apt",13343635,"Andrea"
13147422,43.3222475323187,-1.98409650166919,135,2,"Private room",73303284,"Aitor"
6536472,43.3161289984238,-1.98614444765785,38,6,"Entire home/apt",1589633,"Emy"
14114054,43.3188011414927,-1.95619248462828,170,3,"Entire home/apt",85046454,"Edurne"
846379,43.3079948327576,-2.00726763887998,125,2,"Private room",2883088,"Maria"
2235597,43.3161697459273,-1.98680614990447,180,6,"Entire home/apt",10650761,"Andrey"
10435804,43.3160523944924,-2.00219574779108,52,2,"Entire home/apt",51420363,"Martín"
16202955,43.317394185936,-1.97589652573612,151,2,"Private room",33887248,"Maria"
13335756,43.3103988791098,-1.98067290295401,40,5,"Entire home/apt",2035832,"Iñigo"
13925568,43.3250646090876,-1.98903973204685,162,1,"Private room",58765351,"Nawal"
10394819,43.3164755735561,-1.98483414850752,115,2,"Private room",52323145,"Xin"
1170609,43.3191884419753,-1.98183589196831,45,4,"Entire home/apt",6201019,"M Carmen"
4144262,43.3179636307537,-1.97918021178614,159,2,"Entire home/apt",20267369,"Nora"
7036067,43.3234498279069,-1.98313867586433,170,2,"Private room",4402649,"SSHA Guesthouse"
12000438,43.3234069402711,-1.98582239245572,8,4,"Entire home/apt",27570356,"Nerea"
3726495,43.3105717314619,-2.0017962021492,15,4,"Entire home/apt",13367653,"Selectedrentals"
14107123,43.3112135359822,-2.0020381600715,90,1,"Private room",10969460,"Silvia"
7477785,43.318643445496,-1.94747871598676,77,3,"Entire home/apt",39156075,"Ismael"
11426933,43.3171143273858,-1.95260748559916,172,2,"Entire home/apt",42775403,"Océane&Jérémy"
13130875,43.3197954931243,-1.95955006623651,178,4,"Entire home/apt",7770643,"Elías"
14185138,43.3227821183675,-1.9763926228084,144,2,"Private room",15659580,"Eva"
13261915,43.3103074591049,-1.96611623384679,177,4,"Entire home/apt",3086177,"Ion Ander"
7363660,43.3099384549951,-1.99888404298825,173,6,"Entire home/apt",38581049,"Roberto"
3169268,43.324717974297,-1.98529937106694,15,4,"Entire home/apt",14524985,"Estefania & Iñigo"
11172886,43.3152085905019,-1.98155764475158,51,6,"Entire home/apt",13725999,"Masa Y Borja"
14081045,43.3217757378645,-1.98162116892076,134,2,"Private room",76520078,"Aitor"
13255937,43.3015993549567,-1.97743224218753,180,4,"Entire home/apt",13367653,"Selectedrentals"
3464203,43.3187840660922,-1.9845516703615,15,3,"Entire home/apt",15707672,"The Rentals Collection"
1031158,43.3239097252952,-1.97357648476295,134,2,"Private room",5634854,"Juanjo Y Ara"
16022528,43.3111274765893,-2.0013309112597,155,4,"Entire home/apt",102583389,"Basque Stay"
16075312,43.3125925471589,-2.00528037546329,166,4,"Entire home/apt",12954077,"Aritz"
13720557,43.3098864640479,-2.00057540249629,1,2,"Private room",80195068,"Iker"
