"id"	"name"	"host_id"	"host_name"	"host_since"	"latitude"	"longitude"	"is_location_exact"	"property_type"	"room_type"	"accommodates"	"bathrooms"	"bedrooms"	"beds"	"bed_type"	"price"	"availability_365"	"number_of_reviews"	"license"
7634132	"Habitación Confortable"	11326417	"Jeferson"	"2014-01-15"	43.3248338777208	-1.97638473446803	"t"	"Apartment"	"Private room"	2	1.5	1	1	"Real Bed"	"$30.00"	348	60	""
6400724	"Private room in El Antiguo"	3771786	"Mari & Thomas"	"2012-10-05"	43.3032097453492	-2.00537471306064	"f"	"Apartment"	"Private room"	2	1	1	1	"Real Bed"	"$50.00"	190	30	""
5781526	"Awesome views of Old Town Plaza"	29992891	"Brendon & Nick"	"2015-03-25"	43.3235049284895	-1.98426415290885	"f"	"Guesthouse"	"Private room"	2	2.5	1	1	"Real Bed"	"$35.00"	42	37	""
3537475	"Habitación en Donostia San Sebastia"	17631675	"Rudy"	"2014-07-04"	43.3038599198525	-1.97575174304688	"f"	"Apartment"	"Private room"	2	1	1	1	"Real Bed"	"$32.00"	255	169	""
13081587	"Piso reformado de 4 habitaciones en San Sebastián"	72174065	"Irene Y Agustín"	"2016-05-15"	43.3047889099352	-1.97745782097494	"t"	"Apartment"	"Entire home/apt"	7	1	4	5	"Real Bed"	"$200.00"	100	2	""
3152130	"Araba II | Central, WiFi"	15707672	"The Rentals Collection"	"2014-05-19"	43.3119009597632	-1.97937647237785	"t"	"Apartment"	"Entire home/apt"	8	2.5	4	6	"Real Bed"	"$160.00"	259	16	""
15478619	"Bonita habitacion con balcon en San Sebastian"	30110523	"Javier Ezequiel"	"2015-03-27"	43.3223177699773	-1.97713991167153	"t"	"Other"	"Private room"	2	1	1	1	"Real Bed"	"$31.00"	217	30	""
14301590	"Habitación Perfecta en San Sebastian"	86695703	"Hugo"	"2016-07-29"	43.3100828166831	-2.00085810104644	"t"	"Apartment"	"Private room"	2	1	1	1	"Real Bed"	"$33.00"	148	0	""
14713642	"Habitacion con encanto"	48013502	"Urko"	"2015-11-02"	43.3193798785546	-1.97546809009472	"f"	"Apartment"	"Private room"	2	1	1	1	"Real Bed"	"$37.00"	361	0	""
14156593	"Bonito apartamento en gros para dos"	83742780	"Eider"	"2016-07-14"	43.3208550363568	-1.97668153773331	"f"	"Apartment"	"Entire home/apt"	2	1	2	3	"Real Bed"	"$85.00"	11	2	""
8135356	"Casa con encanto y estilo"	42960862	"Mai"	"2015-08-31"	43.3238931347824	-1.98561799078165	"f"	"Apartment"	"Entire home/apt"	3	1	1	2	"Real Bed"	"$120.00"	0	2	""
7992362	"Habitación en Donostia"	37380080	"Rosario"	"2015-07-03"	43.3248964888512	-1.97364610007261	"t"	"Apartment"	"Private room"	2	1	1	2	"Real Bed"	"$60.00"	0	9	""
6982731	"Gros. A dos pasitos de la playa"	25221342	"Mikel"	"2014-12-26"	43.3228763273139	-1.97054611853511	"f"	"Apartment"	"Entire home/apt"	2	1	1	1	"Real Bed"	"$95.00"	0	12	""
